bld_key,unit_seq,ho_nm,flr_no,ho_nm_source_cd
1022119063,8,,,field
1022121334,1,본가구,1,implicit
1022124543,1,본가구,1,implicit
1022117003,1,본가구,1,implicit
1022124916,1,본가구,1,implicit
1022128294,1,본가구,1,implicit
1022116577,1,본가구,1,implicit
102216621,1,,,field
1022128040,1,본가구,1,implicit
102215603,1,본가구,1,implicit
1022130755,1,본가구,1,implicit
1022128206,1,,,field
1022128206,2,,,field
1022120756,1,본가구,1,implicit
1022125285,1,,,field
1022125285,2,,,field
1022125285,3,,,field
1022125285,4,,,field
1022128351,1,,,field
1022128351,2,,,field
1022128351,3,,,field
1022113228,1,본가구,1,implicit
102217885,1,본가구,1,implicit
1022124602,1,1층101호,1,expos
1022124602,2,1층102호,1,expos
1022124602,3,2층201호,2,expos
1022124602,4,2층202호,2,expos
1022124602,5,지하001호,1,expos
1022124602,6,지하002호,1,expos
102211338,1,,,field
1022117178,1,본가구,1,implicit
1022110303,1,본가구,1,implicit
1022110167,1,,,field
102217442,1,본가구,1,implicit
1022126562,1,,,field
1022126562,2,,,field
1022126562,3,,,field
10221100240853,1,,,field
10221100240853,2,,,field
10221100240853,3,,,field
10221100240853,4,,,field
10221100240853,5,,,field
10221100240853,6,,,field
10221100240853,7,,,field
10221100240853,8,,,field
10221100240853,9,,,field
10221100240853,10,,,field
10221100240853,11,,,field
10221100240853,12,,,field
1022117315,1,,,field
102214830,1,본가구,1,implicit
1022129164,1,본가구,1,implicit
1022110736,1,본가구,1,implicit
10221100284228,1,본가구,1,implicit
10221100284249,1,본가구,1,implicit
1022122995,1,본가구,1,implicit
102216980,1,본가구,1,implicit
1022135076,1,본가구,1,implicit
1022120032,1,본가구,1,implicit
1022134053,1,본가구,1,implicit
102217520,1,본가구,1,implicit
1022128445,1,본가구,1,implicit
1022120000,1,본가구,1,implicit
1022120001,1,본가구,1,implicit
10221100221640,1,,,field
10221100221640,2,,,field
10221100221640,3,,,field
1022120885,1,,,field
1022120885,2,,,field
1022120885,3,,,field
1022112503,1,,,field
1022112503,2,,,field
1022112503,3,,,field
1022113913,1,본가구,1,implicit
1022122440,1,본가구,1,implicit
1022112078,1,본가구,1,implicit
1022110732,1,본가구,1,implicit
1022120101,1,본가구,1,implicit
10221100275340,1,본가구,1,implicit
10221100280628,1,본가구,1,implicit
1022123371,1,본가구,1,implicit
1022116710,1,본가구,1,implicit
102214761,1,본가구,1,implicit
1022113008,1,본가구,1,implicit
102215502,1,본가구,1,implicit
1022123040,1,본가구,1,implicit
1022111186,1,,,field
1022111186,2,,,field
1022111186,3,,,field
1022111186,4,,,field
1022116125,1,,,field
1022116125,2,,,field
1022116125,3,,,field
1022116125,4,,,field
1022116125,5,,,field
102218468,1,본가구,1,implicit
1022121680,1,본가구,1,implicit
1022134750,1,1층,1,expos
